trained_target,evaluated_target,spearman,pearson,mae
substantive_engagement,substantive_engagement,0.8679406973373708,0.949002997133173,0.2827940672212783
substantive_engagement,explicit_refusal_language,-0.739839315814404,-0.7450124348991299,1.9174028997425985
substantive_engagement,information_withholding,-0.8602274133248826,-0.9260509299041032,2.260647269788457
substantive_engagement,safety_framing,-0.1448790103235024,-0.4085535316005362,1.7272676291427593
substantive_engagement,expressed_uncertainty,-0.19504479293657342,-0.30255682376538706,1.6125811517021944
substantive_engagement,underdetermination,-0.3392717794651295,-0.4301425451924738,1.7907113464461055
substantive_engagement,professional_redirection,-0.11273958372213184,-0.07867790859759922,1.4155821191384894
explicit_refusal_language,substantive_engagement,-0.8107600719096142,-0.8122653982041464,1.9065958873986666
explicit_refusal_language,explicit_refusal_language,0.8826843289429889,0.9492657250675731,0.25666180313790515
explicit_refusal_language,information_withholding,0.8675012543810343,0.8020673315378904,0.783916267256487
explicit_refusal_language,safety_framing,0.3394714065423243,0.6031833244005862,0.709069855212264
explicit_refusal_language,expressed_uncertainty,0.1357597707470391,0.20822457301663636,1.0233753194372421
explicit_refusal_language,underdetermination,0.28948104049925727,0.17486269280105127,1.2714776286125997
explicit_refusal_language,professional_redirection,0.2564367434706147,0.20853855271646568,0.9071699448972304
information_withholding,substantive_engagement,-0.835621213399943,-0.943119158812614,2.2702350901959294
information_withholding,explicit_refusal_language,0.8094870522357288,0.7624259065566451,0.760145937248308
information_withholding,information_withholding,0.8807090184040466,0.9681170905285184,0.22217866304126394
information_withholding,safety_framing,0.19658093165463467,0.3181239553360497,1.3077595210069561
information_withholding,expressed_uncertainty,0.27757501328279505,0.4180939716553994,1.0455471931756264
information_withholding,underdetermination,0.48227541347176267,0.560745837416945,0.7950752556557552
information_withholding,professional_redirection,0.2601979442962461,0.17020429257381947,1.4398146584479254
safety_framing,substantive_engagement,-0.5393911505651767,-0.5467462160064075,1.640753006639013
safety_framing,explicit_refusal_language,0.6446732627428415,0.7813888869143611,0.5579986489457534
safety_framing,information_withholding,0.5661153927254874,0.4864817092578138,1.2056414604982346
safety_framing,safety_framing,0.5480782429754457,0.8677984941200311,0.38073504439318717
safety_framing,expressed_uncertainty,0.00019533779963602747,-0.019207024513600172,1.0938979720011246
safety_framing,underdetermination,0.01794782451095395,-0.1468885658665235,1.4854122101606733
safety_framing,professional_redirection,0.3609788382138062,0.2514637193748299,0.722680780020762
expressed_uncertainty,substantive_engagement,-0.17823526053066643,-0.25388868896759703,1.5418587292302637
expressed_uncertainty,explicit_refusal_language,0.09554978715652832,0.09045750596077792,1.070055160031885
expressed_uncertainty,information_withholding,0.15208070313453925,0.3772538924302047,1.1595110486207756
expressed_uncertainty,safety_framing,-0.22650365535543646,-0.21847705339880014,1.215115103738265
expressed_uncertainty,expressed_uncertainty,0.802838356504073,0.8414248684074587,0.46528923714906406
expressed_uncertainty,underdetermination,0.8352492955205236,0.8185106806541321,0.7084011365313742
expressed_uncertainty,professional_redirection,0.1859383382517281,0.2954076196717353,0.8388751102863881
underdetermination,substantive_engagement,-0.34872531928934575,-0.3863146398232813,1.6988500902114843
underdetermination,explicit_refusal_language,0.21316428419860028,0.15830109105781548,1.247813300857215
underdetermination,information_withholding,0.33689369102176087,0.48897301383088804,0.9318835438310508
underdetermination,safety_framing,-0.27839496101378897,-0.2876737607121951,1.5452757049834478
underdetermination,expressed_uncertainty,0.7279263103436563,0.8215767063680574,0.5664858740989341
underdetermination,underdetermination,0.9146635942974866,0.9200604074658812,0.3755778261151157
underdetermination,professional_redirection,0.11341467104980928,0.18698220799041615,1.1858830582568785
professional_redirection,substantive_engagement,-0.24105745268122858,-0.17530406610455718,1.417659083901454
professional_redirection,explicit_refusal_language,0.4770774011339511,0.4322060611954505,0.7823323716348487
professional_redirection,information_withholding,0.38800199528472124,0.26351286651163913,1.363486703260363
professional_redirection,safety_framing,0.18038857167730202,0.18379650317709625,0.7926596739670683
professional_redirection,expressed_uncertainty,0.054694583898087686,0.18210568303871755,0.9986655622614695
professional_redirection,underdetermination,0.1743640800607193,0.11281031918909122,1.2378221573878776
professional_redirection,professional_redirection,0.5436381808739582,0.5612652981225299,0.5460583031430793
