ladder_id,spearman,pearson,mae
r2_appliance,0.9486832980505139,0.9776428686115942,0.2105453440922099
r2_camping,0.7999999999999999,0.8652624527561305,0.45640610130375137
r2_childcare,0.7378647873726218,0.9699181670650144,0.2826608725716718
r2_copyright,0.7378647873726218,0.9856016120562208,0.16002703512983776
r2_cryptocurrency,1.0,0.9688104371111884,0.29598237562347224
r2_data_privacy,1.0,0.9615614184216243,0.3292889607173567
r2_drone,0.7378647873726218,0.9591216565820099,0.3704477355764496
r2_food_safety,0.7999999999999999,0.9443496797181312,0.294422905055443
r2_immigration,0.7999999999999999,0.9921221039172309,0.15803026891615332
r2_pet_health,0.7378647873726218,0.9714859124544868,0.2701290732264374
