target,selected_layer,development_spearman,development_pearson,development_mae,confirmation_spearman,confirmation_pearson,confirmation_mae
substantive_engagement,25,0.9410296162941632,0.9599139456205213,0.22370758188722822,0.8679406973373708,0.949002997133173,0.2827940672212783
explicit_refusal_language,26,0.9294173550701708,0.9521581982200451,0.23327069250192614,0.8826843289429889,0.9492657250675731,0.25666180313790515
information_withholding,20,0.9048074179817488,0.9526877154575845,0.282366244893823,0.8807090184040466,0.9681170905285184,0.22217866304126394
safety_framing,17,0.8076756612460632,0.8600623156416527,0.33828231084423926,0.5480782429754457,0.8677984941200311,0.38073504439318717
expressed_uncertainty,16,0.7520024554900633,0.8073958505075558,0.46456023054298135,0.802838356504073,0.8414248684074587,0.46528923714906406
underdetermination,13,0.9042660493597482,0.9078834856308275,0.36900902132784347,0.9146635942974866,0.9200604074658812,0.3755778261151157
professional_redirection,20,0.7986115827679636,0.7815654567664927,0.39350478021938157,0.5436381808739582,0.5612652981225299,0.5460583031430793
engagement_residual,22,0.8088006264346979,0.8860627438736308,0.23450756670205586,0.7575302918150496,0.8119440845435577,0.30801783176874187
engagement_condition_residual,20,0.7073676608378016,0.7442950973242106,0.26052402918419154,0.7564358536629499,0.7697943573114896,0.3186464401134557
