target,layer,spearman,pearson,mae,shuffled_spearman_mean,shuffled_spearman_std
substantive_engagement,0,-0.2680817126632944,-0.28630776356784643,1.0527538314176246,-0.26792498597273723,0.00015718147185542826
substantive_engagement,1,0.7598820898885702,0.7469121055604929,0.5738140304093127,-0.018452118157291926,0.09273151680045638
substantive_engagement,2,0.732963872869272,0.7174129129736795,0.6471753698338046,-0.030541345108208207,0.0719912709597211
substantive_engagement,3,0.7598501289448797,0.758493285335834,0.5970446605031473,0.013725094585472972,0.07079107834483914
substantive_engagement,4,0.7934481831954837,0.8100052661231316,0.5051191316342376,-0.0027372772662895726,0.09224507235296497
substantive_engagement,5,0.7898721087181179,0.8026982906648334,0.5118243681240944,0.006296838589415354,0.09291117490105615
substantive_engagement,6,0.8134095681381585,0.8270282799842704,0.5019431583626892,-0.019072338025685108,0.06542856787855697
substantive_engagement,7,0.8246527178852691,0.8299622455030504,0.47256630715251013,0.021460885884152115,0.08405218039167084
substantive_engagement,8,0.8504665067392635,0.8601408194735194,0.4358336741693262,0.0001763178726923678,0.082094974573216
substantive_engagement,9,0.8709002034053638,0.886091928649182,0.37963127723700674,0.04227633826655523,0.0909181066873379
substantive_engagement,10,0.8625726019660164,0.8749976545999528,0.3778080007323555,-0.013090669853217347,0.08151789897511355
substantive_engagement,11,0.8630662209852357,0.8719612804726735,0.37330712649174,0.002817889868708838,0.08931669031295741
substantive_engagement,12,0.8842350193562167,0.8984862616994825,0.3234571017800835,-0.006169705057846633,0.09682410268121408
substantive_engagement,13,0.8910142906345596,0.9034453464726626,0.31492225425783077,0.026227327953189307,0.09135060730792104
substantive_engagement,14,0.9046438575105578,0.9186109220523546,0.2973842159797328,-0.010164823019154067,0.07535311186408793
substantive_engagement,15,0.9167890161129325,0.9295148716499113,0.2800235131210858,0.01223180827193539,0.08730662280702324
substantive_engagement,16,0.9173181472918078,0.9312920331481769,0.2816010869317737,-0.0265188827839656,0.0921513246579273
substantive_engagement,17,0.9298965542419863,0.9422091374084772,0.26169883126420274,0.03280009602313229,0.11188827133995216
substantive_engagement,18,0.9406993532093617,0.9561076445302792,0.22424057785999066,-0.03474562968988987,0.09252081380367565
substantive_engagement,19,0.9404685241715971,0.9574802915612819,0.22452272180671878,-0.009458663724393194,0.1390481992013292
substantive_engagement,20,0.9402874121573513,0.9598087459209208,0.22657542821216392,0.005719410873407721,0.09572680060303641
substantive_engagement,21,0.9369812300933716,0.957102873680944,0.23496148762211183,0.0007432695016014581,0.09381777831065156
substantive_engagement,22,0.9398328565137538,0.9607868138179475,0.2247465399540791,0.007480281309953754,0.11903150967932759
substantive_engagement,23,0.9401666708145207,0.957704761052525,0.22359848478767688,-0.009791235099572254,0.09336523389574752
substantive_engagement,24,0.939214944935738,0.9566915381490285,0.2264762364416147,-0.008922785235183157,0.08103095299759767
substantive_engagement,25,0.9410296162941632,0.9599139456205213,0.22370758188722822,-0.028891805292183943,0.103560971290147
substantive_engagement,26,0.9360721188061764,0.9572731576476279,0.23923381041363895,-0.014317082286939592,0.08836626290736586
explicit_refusal_language,0,-0.26203119989455276,-0.25722498455114645,0.9379150702426565,,
explicit_refusal_language,1,0.6409629453536262,0.6541092887602443,0.6516765025751482,,
explicit_refusal_language,2,0.6239479092713769,0.5961162201035872,0.7078117549144165,,
explicit_refusal_language,3,0.6773544599483747,0.6650983079826395,0.6120598393571328,,
explicit_refusal_language,4,0.7112334279097471,0.7189231022249638,0.5594761843082341,,
explicit_refusal_language,5,0.7101475860779802,0.718324377455907,0.5751261028919947,,
explicit_refusal_language,6,0.7874110305927291,0.7881126357249395,0.5103914043629875,,
explicit_refusal_language,7,0.7753437786500517,0.777748922663448,0.5103728728836757,,
explicit_refusal_language,8,0.7985470589580013,0.8103253269648089,0.46172615005422923,,
explicit_refusal_language,9,0.8354199985720121,0.8427388310920519,0.42584225106843987,,
explicit_refusal_language,10,0.8191393991979805,0.8278090113646044,0.4332989534734816,,
explicit_refusal_language,11,0.8360806402042845,0.8431897636822376,0.4103197833232545,,
explicit_refusal_language,12,0.8489420677261829,0.8569995708758034,0.3875140761783824,,
explicit_refusal_language,13,0.8815032664742458,0.8955998300853173,0.3318145963957563,,
explicit_refusal_language,14,0.8983917967120175,0.9136419179285431,0.2967491882438558,,
explicit_refusal_language,15,0.9174414684596162,0.9343696509578141,0.24953265464843993,,
explicit_refusal_language,16,0.9095137688723476,0.9290945173017239,0.25562942777761355,,
explicit_refusal_language,17,0.9167070317513986,0.9374071986313345,0.24719255592039716,,
explicit_refusal_language,18,0.9175996007652133,0.942895214057399,0.24397420767373554,,
explicit_refusal_language,19,0.9250599315381616,0.9474297627040409,0.23928997352432918,,
explicit_refusal_language,20,0.9269715754102688,0.9499027998184981,0.23063420883987854,,
explicit_refusal_language,21,0.921394776099544,0.9450981596624994,0.25124493632028927,,
explicit_refusal_language,22,0.9248244901053837,0.9493483850565223,0.24032039975223693,,
explicit_refusal_language,23,0.9275232814542409,0.9516243329293885,0.23517173225481205,,
explicit_refusal_language,24,0.9226457783393789,0.9484688582314681,0.23871772919487108,,
explicit_refusal_language,25,0.9265393471083034,0.9504863795768207,0.2424007488674955,,
explicit_refusal_language,26,0.9294173550701708,0.9521581982200451,0.23327069250192614,,
information_withholding,0,-0.19169671312018904,-0.20191870901845604,1.2470785440613028,,
information_withholding,1,0.7331627448131263,0.7521898048816488,0.6810539929948582,,
information_withholding,2,0.7217001969803506,0.7374712099068496,0.6812491628689124,,
information_withholding,3,0.743963028014714,0.7627594396148494,0.6733659712270015,,
information_withholding,4,0.8029367984697882,0.8310628952848527,0.5576945172398347,,
information_withholding,5,0.7966792926572672,0.834509047256941,0.5230853564572541,,
information_withholding,6,0.8034737697923728,0.8434069041363229,0.5502502595496659,,
information_withholding,7,0.812562904379324,0.8437337596568723,0.5225281430306391,,
information_withholding,8,0.8517009541781175,0.8824346104987613,0.4299873357104257,,
information_withholding,9,0.8617100996310972,0.8860608273548413,0.4476513216072,,
information_withholding,10,0.8464422150256043,0.8828122938374031,0.4151380141198833,,
information_withholding,11,0.8433635794427851,0.8718373945508718,0.4374556240917677,,
information_withholding,12,0.8526245448529632,0.8898980935577362,0.39631723345308506,,
information_withholding,13,0.8582054667990274,0.9002588745304267,0.3671805819397903,,
information_withholding,14,0.8586171448130091,0.9071619983932254,0.3669907141852704,,
information_withholding,15,0.8742788083883974,0.9192404430974095,0.33809015895312505,,
information_withholding,16,0.8752274577249638,0.9232749908010676,0.347294811703365,,
information_withholding,17,0.8865289141609641,0.9368252827757777,0.3241227807018954,,
information_withholding,18,0.9046785448643285,0.9506566638157776,0.28237853138496666,,
information_withholding,19,0.9006011426215018,0.9517733433765485,0.2866151980337039,,
information_withholding,20,0.9048074179817488,0.9526877154575845,0.282366244893823,,
information_withholding,21,0.8941467473240331,0.9478993226748426,0.3103686402898513,,
information_withholding,22,0.9027490279118408,0.9567966943280926,0.2847414021750033,,
information_withholding,23,0.8972218030980352,0.9537210179559764,0.290745347323626,,
information_withholding,24,0.8971466271128732,0.9510388303790205,0.29746289199646275,,
information_withholding,25,0.9016070688991438,0.9558721067333646,0.2823987929212046,,
information_withholding,26,0.8959008536444765,0.9555921941657046,0.28276223499689707,,
safety_framing,0,-0.4666430959799915,-0.4241849169324848,0.7659243295019157,,
safety_framing,1,0.49893137755833317,0.5728642278315624,0.6193076357950826,,
safety_framing,2,0.5040026139955907,0.5246445104357012,0.6853369102956104,,
safety_framing,3,0.5608277230468456,0.6226985093007744,0.5663841826148812,,
safety_framing,4,0.7077502849692671,0.7811888474493167,0.4409419745294923,,
safety_framing,5,0.67451988107854,0.7526781493502123,0.47047824544404904,,
safety_framing,6,0.617334787635116,0.7198422508644531,0.5096174850387922,,
safety_framing,7,0.6462034388906277,0.7563031621597719,0.484439327398791,,
safety_framing,8,0.708879168063157,0.7902224378780833,0.4264851643849312,,
safety_framing,9,0.7374926847494615,0.7966048836561849,0.4179267856594991,,
safety_framing,10,0.7157293564966682,0.784046756534168,0.42674207409569165,,
safety_framing,11,0.7112417840738986,0.7905929319841853,0.4200415538495073,,
safety_framing,12,0.7490436402457649,0.8284390462099158,0.37908354250672244,,
safety_framing,13,0.7613739794260851,0.8385253579075276,0.36147504692519233,,
safety_framing,14,0.7330750122086664,0.8249911394859949,0.3738631977726707,,
safety_framing,15,0.7469081988514407,0.8366899048052253,0.36408914145568,,
safety_framing,16,0.760091316591851,0.8358100854569636,0.3705057728813029,,
safety_framing,17,0.8076756612460632,0.8600623156416527,0.33828231084423926,,
safety_framing,18,0.793531420128502,0.8560325851845835,0.34724306845724606,,
safety_framing,19,0.7880023394643108,0.8590007711356962,0.35219954707779594,,
safety_framing,20,0.7680599031369559,0.8515390169606594,0.3705770270847856,,
safety_framing,21,0.7624399526261978,0.8421208765374646,0.3893117860195752,,
safety_framing,22,0.7630935165226602,0.8461277049551731,0.3843004475204427,,
safety_framing,23,0.7654596275275007,0.8503903633834828,0.37571299391616125,,
safety_framing,24,0.770300194354242,0.8445079113735855,0.38292491037237025,,
safety_framing,25,0.7635024308322118,0.8390474924884743,0.3948191749607155,,
safety_framing,26,0.7770175730120016,0.8431285016876301,0.3822026554927762,,
expressed_uncertainty,0,-0.28263382165414475,-0.31384832879721186,0.9996328224776501,,
expressed_uncertainty,1,0.5951998963442291,0.5936872289889332,0.7747798742962017,,
expressed_uncertainty,2,0.6038593409869473,0.61668799673591,0.7836987301940507,,
expressed_uncertainty,3,0.656200873049599,0.6558320989916366,0.7404297580099163,,
expressed_uncertainty,4,0.6729091604692025,0.6799478702759266,0.6796509499557867,,
expressed_uncertainty,5,0.6752664537330536,0.7075237697526288,0.6286421180895855,,
expressed_uncertainty,6,0.6790003766580546,0.7056386728482459,0.6199307415571516,,
expressed_uncertainty,7,0.6956124480260725,0.6963183378444185,0.6456517710709757,,
expressed_uncertainty,8,0.6713437993222495,0.6725560009467062,0.6289086753282346,,
expressed_uncertainty,9,0.6944171486159878,0.7063454131119149,0.6009920602024424,,
expressed_uncertainty,10,0.6814982933819157,0.6834455266652572,0.5929910815581051,,
expressed_uncertainty,11,0.664312626321752,0.6689960407022417,0.600648907199543,,
expressed_uncertainty,12,0.6885183645303072,0.7254387576523119,0.5584968033198044,,
expressed_uncertainty,13,0.721949741838989,0.7625049515637543,0.5117576989522106,,
expressed_uncertainty,14,0.7397238070607733,0.8028104566924342,0.45713269422428676,,
expressed_uncertainty,15,0.7316527605796758,0.8000990032808493,0.4772160618522083,,
expressed_uncertainty,16,0.7520024554900633,0.8073958505075558,0.46456023054298135,,
expressed_uncertainty,17,0.7252432912971168,0.7861121379288619,0.5051731819273182,,
expressed_uncertainty,18,0.713312500900483,0.7914571160287392,0.5060069116235275,,
expressed_uncertainty,19,0.7164506244291261,0.804780072394608,0.5015132272589906,,
expressed_uncertainty,20,0.7049602074993656,0.7995860716555189,0.5160804316696407,,
expressed_uncertainty,21,0.7045605408235478,0.8104087835009357,0.49885412143767854,,
expressed_uncertainty,22,0.7296618284353243,0.8277491228741604,0.481986763091279,,
expressed_uncertainty,23,0.7282740969220682,0.8340716605947847,0.46479575145702146,,
expressed_uncertainty,24,0.7345244396577737,0.8483286568999048,0.4522517448712275,,
expressed_uncertainty,25,0.7382805662869869,0.845938873283665,0.44763467687161956,,
expressed_uncertainty,26,0.7308238222890907,0.8397841295677807,0.46327113524338953,,
underdetermination,0,-0.1622741808036011,-0.1897986087123858,1.1771711366538953,,
underdetermination,1,0.6699052386153023,0.6224194814999557,0.8560185916406223,,
underdetermination,2,0.7049143903157252,0.6987744554992821,0.7502502475330824,,
underdetermination,3,0.7715212127206293,0.7620811082249335,0.6893726876172767,,
underdetermination,4,0.778766102066133,0.7583223303050286,0.6508758122847274,,
underdetermination,5,0.8006882933709198,0.7899414750711795,0.5940138701763799,,
underdetermination,6,0.8484237837972176,0.8420744610102887,0.487584648898723,,
underdetermination,7,0.8583192424154664,0.8491306741351891,0.5055277632007924,,
underdetermination,8,0.866263737800307,0.8678212989953441,0.47167309233512744,,
underdetermination,9,0.8618821845127076,0.8754174548397587,0.43044856366290757,,
underdetermination,10,0.8867037740423749,0.8956528812225739,0.39623375079726275,,
underdetermination,11,0.8748032589402535,0.8843013278496359,0.4109278790333929,,
underdetermination,12,0.9019869204068571,0.9081693550449578,0.37056769730911215,,
underdetermination,13,0.9042660493597482,0.9078834856308275,0.36900902132784347,,
underdetermination,14,0.8862818466887542,0.8980284977326312,0.38882304154371605,,
underdetermination,15,0.8880452866538868,0.9027516337060668,0.38673412285472236,,
underdetermination,16,0.9012909205842179,0.9152557759057838,0.3494671742341652,,
underdetermination,17,0.8670066184400151,0.9063248632895904,0.3856071698571039,,
underdetermination,18,0.8640314896644847,0.9041194716944441,0.387379858438391,,
underdetermination,19,0.8585103719004399,0.8932043480310988,0.42238925301684316,,
underdetermination,20,0.8585356154173233,0.8936708045374658,0.42346564989444846,,
underdetermination,21,0.8647094584036359,0.8979074510175192,0.4245195272651621,,
underdetermination,22,0.8697834052971768,0.8974755130251274,0.4266603647680001,,
underdetermination,23,0.873486989845625,0.8975428880944374,0.42439924734890677,,
underdetermination,24,0.8723293942856913,0.8948648344705048,0.4245250680303973,,
underdetermination,25,0.8691595298084898,0.8901958098804662,0.42757372172103997,,
underdetermination,26,0.8689972500570973,0.8864832820182293,0.4313131229303651,,
professional_redirection,0,-0.69132666232368,-0.7130331977851635,0.6842752234993613,,
professional_redirection,1,0.4849008938200495,0.4651670500800369,0.6529442012324618,,
professional_redirection,2,0.5608782745630067,0.5617628789092681,0.5820444881354235,,
professional_redirection,3,0.6592673054202635,0.6533247097239346,0.4969977634409242,,
professional_redirection,4,0.529046323745846,0.5246987401818697,0.5897154563018664,,
professional_redirection,5,0.5253564730254375,0.510581385516028,0.6205483239124047,,
professional_redirection,6,0.5890238688365774,0.572283085688607,0.5672050716004989,,
professional_redirection,7,0.5862355157353596,0.5707103143908843,0.5597096395013584,,
professional_redirection,8,0.6664757921969707,0.6355749589321583,0.47355468762982217,,
professional_redirection,9,0.6894255455413297,0.6658164317116869,0.4692321587792568,,
professional_redirection,10,0.6296786161206239,0.6052109414251184,0.48715404179299426,,
professional_redirection,11,0.6138430067788706,0.5850099384014232,0.5018866843896276,,
professional_redirection,12,0.6956242152174704,0.6798459779356854,0.42521933146418556,,
professional_redirection,13,0.7067007557323333,0.6913626770525279,0.442039954409882,,
professional_redirection,14,0.6855120675045328,0.6632388458047217,0.4659018405364851,,
professional_redirection,15,0.6840445132407339,0.6707481121753363,0.45876208860324397,,
professional_redirection,16,0.7327952682134041,0.6939588950837774,0.4484490016046549,,
professional_redirection,17,0.7418591628807714,0.7217831752015279,0.43667202746866696,,
professional_redirection,18,0.7766681523473524,0.7536158515427148,0.4059504398362693,,
professional_redirection,19,0.7949252262243738,0.7810424077012655,0.38520879211313225,,
professional_redirection,20,0.7986115827679636,0.7815654567664927,0.39350478021938157,,
professional_redirection,21,0.7869654914316743,0.775825215374217,0.3889563632769194,,
professional_redirection,22,0.7929160745536968,0.7770513406383408,0.39323456454620154,,
professional_redirection,23,0.7740230604956959,0.7674282531799191,0.4011458282346042,,
professional_redirection,24,0.771178800565381,0.7617998728041507,0.40841203466753667,,
professional_redirection,25,0.7790966052362577,0.7607931467335357,0.4096983004394378,,
professional_redirection,26,0.7436376988814227,0.7241534246055068,0.4408365984654733,,
engagement_residual,0,-0.009644599926194031,0.02780919489330525,0.4800498845478924,,
engagement_residual,1,0.4460977257068425,0.512921322411286,0.500580191535407,,
engagement_residual,2,0.5123177170604934,0.650937670464608,0.42433246841625427,,
engagement_residual,3,0.5269402856808513,0.6389506712186857,0.42218132867669567,,
engagement_residual,4,0.6240131676048845,0.6329782202023222,0.40266519598435785,,
engagement_residual,5,0.5776661185961178,0.6190235357954527,0.4320842849124915,,
engagement_residual,6,0.6582482433655371,0.7124095387498592,0.36807291113831037,,
engagement_residual,7,0.6158910616910833,0.6640980908734471,0.4099645980989274,,
engagement_residual,8,0.5862535354087859,0.6302524825470853,0.4189487354643206,,
engagement_residual,9,0.656196013953371,0.7366605734963897,0.3453027580012745,,
engagement_residual,10,0.7137973362698034,0.7568497503369609,0.320879483442601,,
engagement_residual,11,0.6880316133624047,0.7444980778469085,0.3332118839215974,,
engagement_residual,12,0.7331667705524811,0.7818700554713004,0.3075410582368801,,
engagement_residual,13,0.7284268498289502,0.7907181694792592,0.29555921821708114,,
engagement_residual,14,0.7210374349573944,0.7999384411831273,0.2954765361294231,,
engagement_residual,15,0.7463274295577426,0.8326391925822284,0.27265437382777763,,
engagement_residual,16,0.7399762830351507,0.8455376248964549,0.2681930548887051,,
engagement_residual,17,0.7722355237103169,0.8516910598361042,0.27003281126167994,,
engagement_residual,18,0.7889867160695204,0.8743460344713974,0.24570069289766952,,
engagement_residual,19,0.7982304295977543,0.8870243369629927,0.23437228276603309,,
engagement_residual,20,0.7880942914351267,0.8864093991897591,0.2354374525845547,,
engagement_residual,21,0.7908722669507492,0.883716210289742,0.23596664630318515,,
engagement_residual,22,0.8088006264346979,0.8860627438736308,0.23450756670205586,,
engagement_residual,23,0.7892749310292663,0.8831108464853713,0.23849661223091148,,
engagement_residual,24,0.8053489918565369,0.8858703217440789,0.23449299019777842,,
engagement_residual,25,0.8064914342873365,0.886477879829271,0.2349778816418662,,
engagement_residual,26,0.7817743971370855,0.8845446391729493,0.2326907429567516,,
engagement_condition_residual,0,-0.04707910344469206,-0.09370559458035901,0.38944307608100753,,
engagement_condition_residual,1,0.38091699564348025,0.4420364768736197,0.45971990597484297,,
engagement_condition_residual,2,0.34896725876031404,0.4926895489434999,0.45116755388436036,,
engagement_condition_residual,3,0.3893047132837506,0.5202992479673691,0.3964231463315277,,
engagement_condition_residual,4,0.3662185190167209,0.40782889875298,0.4613878722583292,,
engagement_condition_residual,5,0.3591262956538091,0.42202925085125226,0.45096861672943656,,
engagement_condition_residual,6,0.3651974055648619,0.5318893917445727,0.4190098986855422,,
engagement_condition_residual,7,0.3584629192276014,0.4776582936538593,0.42977991906359164,,
engagement_condition_residual,8,0.39837664640026654,0.4787536976109965,0.3994060240018825,,
engagement_condition_residual,9,0.4800448834989481,0.621101508956881,0.3368554235784155,,
engagement_condition_residual,10,0.42527638682423896,0.5327238215684574,0.36028934537740676,,
engagement_condition_residual,11,0.524685601855219,0.5676008806989126,0.3226679772598543,,
engagement_condition_residual,12,0.5449793634171648,0.5823939759993052,0.3311034629228457,,
engagement_condition_residual,13,0.5780127309023039,0.5747897764135365,0.3220911010599722,,
engagement_condition_residual,14,0.6089760860836744,0.6249864841527559,0.31392463393288195,,
engagement_condition_residual,15,0.6067810394796781,0.6297924416189413,0.31713759264017133,,
engagement_condition_residual,16,0.648486924955606,0.6775040699353188,0.303602357591345,,
engagement_condition_residual,17,0.6538981316154574,0.6878942723548057,0.28956794900345173,,
engagement_condition_residual,18,0.6907936697076278,0.7253253694399319,0.2763608818374307,,
engagement_condition_residual,19,0.6892619995298392,0.729000406099728,0.2639632319575631,,
engagement_condition_residual,20,0.7073676608378016,0.7442950973242106,0.26052402918419154,,
engagement_condition_residual,21,0.7011228921764326,0.758123068456918,0.2628502715839955,,
engagement_condition_residual,22,0.6945273328394251,0.7577859989887783,0.26292687684453414,,
engagement_condition_residual,23,0.6972954533194646,0.7340938937153274,0.26598866274140137,,
engagement_condition_residual,24,0.6914223143837722,0.7283170981149567,0.25828557940569735,,
engagement_condition_residual,25,0.6822566055420856,0.7321620741531878,0.26456188398984365,,
engagement_condition_residual,26,0.6775469802335115,0.7295202954136354,0.26528086910508164,,
